Repository Name,Number of Files,Number of Rust Files,Rust Files to Total Files,Total SLOC,Rust SLOC,Rust SLOC to Total SLOC,Languages Used,'Unique' Crates
printscottylabs-website,42,0,0.0,15592,0,0.0,"['', '.pack', '.png', '.idx', '.css', '.yml', '.lock', '.html', '.sample']",[]
cmupy,36,0,0.0,1375,0,0.0,"['', '.md', '.idx', '.pack', '.html', '.txt', 'Python', '.sample']",[]
cmurb,36,0,0.0,1011,0,0.0,"['', '.md', 'Ruby', '.idx', '.gemspec', '.pack', '.sample']",[]
wdw,111,0,0.0,594277,0,0.0,"['', '.scss', '.pack', '.md', '.png', '.idx', '.css', '.gif', '.sketch', '.ai', '.pptx', '.svg', '.pdf', '.yml', '.lock', '.html', '.zip', '.sample']",[]
tartanhacks-old,139,0,0.0,56835,0,0.0,"['', '.tsx', '.gif', '.toml', '.jpg', '.lock', '.sample', '.png', '.ttf', '.json', '.svg', 'JavaScript', '.idx', '.css', 'TypeScript', '.pack', '.otf', '.scss', '.md', '.jpeg']",[]
dining-api,83,0,0.0,9031,0,0.0,"['', '.pack', '.md', '.example', '.idx', '.json', 'JavaScript', 'TypeScript', '.lock', '.yml', '.html', '.lockb', '.sample']",[]
course-api,39,0,0.0,1919,0,0.0,"['', '.md', '.in', '.idx', '.pack', 'Python', '.sample']",[]
blog,35,0,0.0,1316,0,0.0,"['', '.pack', '.md', '.idx', '.svg', '.yml', 'JavaScript', '.sample']",[]
wdw-htmlcss,55,0,0.0,1963,0,0.0,"['', '.md', '.idx', '.css', '.pack', '.html', '.sample']",[]
IntroToSwift,45,0,0.0,2053,0,0.0,"['', '.scss', '.md', '.markdown', '.idx', '.yml', '.pack', '.html', '.sample']",[]
print-ios,124,0,0.0,54638,0,0.0,"['', '.pbxproj', '.pack', '.md', '.plist', '.xcscheme', '.png', '.idx', '.storyboard', '.json', '.entitlements', 'Swift', '.xcworkspacedata', '.pdf', '.lock', '.sample']",[]
